date;investissement;interets;commissions_totales;commission_supplementaire;revenu_global;nombre_MEC;rendement;cycle;taux_interet
12-12-2025 14:18:35;50,000.00;12,000.00;7,233.60;0.00;19,233.60;100;38.47 %;28;24.00%
12-12-2025 14:22:58;50,000.00;12,000.00;7,233.60;9,300.00;21,300.00;115;42.37 %;28;24.00%
12-12-2025 14:35:24;10,000.00;2,400.00;1,016.40;1,860.00;4,260.00;23;40.63 %;28;24.00%
12-12-2025 14:35:46;14,500.00;3,480.00;1,698.00;2,480.00;5,960.00;33;40.26 %;28;24.00%
12-12-2025 14:35:54;20,500.00;4,920.00;2,463.60;3,100.00;8,020.00;46;39.05 %;28;24.00%
12-12-2025 14:38:55;28,500.00;6,840.00;3,727.20;4,960.00;11,800.00;65;41.01 %;28;24.00%
12-12-2025 14:39:01;40,500.00;9,720.00;5,614.80;7,440.00;17,160.00;93;41.97 %;28;24.00%
