date_calcul;date_fin_cycle;montant_investi;interets;commissions;commission_supplementaire;revenu_global;MEC;circulation;rendement
12-12-2025 14:18:35;09-01-2026 14:18:35;50,000.00;12,000.00;7,233.60;0.00;19,233.60;100;69,233.60;38.47 %
12-12-2025 14:22:58;09-01-2026 14:22:58;50,266.40;12,000.00;7,233.60;9,300.00;21,300.00;115;71,300.00;42.37 %
12-12-2025 14:35:24;09-01-2026 14:35:24;10,483.60;2,400.00;1,016.40;1,860.00;4,260.00;23;14,260.00;40.63 %
12-12-2025 14:35:46;09-01-2026 14:35:46;14,802.00;3,480.00;1,698.00;2,480.00;5,960.00;33;20,460.00;40.26 %
12-12-2025 14:35:54;09-01-2026 14:35:54;20,536.40;4,920.00;2,463.60;3,100.00;8,020.00;46;28,520.00;39.05 %
12-12-2025 14:38:55;09-01-2026 14:38:55;28,772.80;6,840.00;3,727.20;4,960.00;11,800.00;65;40,300.00;41.01 %
12-12-2025 14:39:01;09-01-2026 14:39:01;40,885.20;9,720.00;5,614.80;7,440.00;17,160.00;93;57,660.00;41.97 %
